City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,rabo de peixe,37.8,-25.5833,293.88,99,75,8.75,PT,1731348929
83,afaahiti,-17.75,-149.2833,296.54,85,99,5.95,PF,1731348930
84,port mathurin,-19.6833,63.4167,297.32,81,80,8.62,MU,1731348931
85,tosontsengel,48.7567,98.2839,262.96,87,27,0.49,MN,1731348932
86,guerrero negro,27.9769,-114.0611,293.94,47,100,3.05,MX,1731348934
87,invercargill,-46.4,168.35,276.92,96,26,2.24,NZ,1731348935
88,dunedin,-45.8742,170.5036,283.6,87,33,1.8,NZ,1731348936
89,sinabang,2.4803,96.3801,299.05,85,98,0.41,ID,1731348937
90,isafjordur,66.0755,-23.124,286.17,76,75,13.89,IS,1731348939
91,kolonia,50.9333,6.95,283.12,86,75,5.14,DE,1731348940
92,san fernando de apure,7.8878,-67.4724,305.3,58,33,1.93,VE,1731348941
93,lihue,21.9789,-159.3672,296.92,100,75,6.69,US,1731348943
94,sao raimundo nonato,-9.0153,-42.6994,296.46,85,100,0.63,BR,1731348944
95,trapani,37.8333,12.6667,290.56,88,99,0.78,IT,1731348945
96,ceeldheer,3.8488,47.1806,299.47,70,76,7.73,SO,1731348946
97,tralee,52.2704,-9.7026,286.29,88,75,1.03,IE,1731348947
98,petropavlovsk-kamchatsky,53.0452,158.6483,271.48,80,75,2.0,RU,1731348948
99,nabulao,9.6616,122.4577,298.99,86,95,0.85,PH,1731348949
100,arraial do cabo,-22.9661,-42.0278,300.07,50,0,8.23,BR,1731348950
101,klyuchi,52.2667,79.1667,266.18,81,98,6.86,RU,1731348951
102,fu'an,27.0892,119.6453,291.4,95,29,1.04,CN,1731348953
103,tazovsky,67.4667,78.7,248.71,96,85,5.32,RU,1731348954
104,tura,25.5198,90.2201,292.16,92,0,1.47,IN,1731348955
105,belyy yar,53.6039,91.3903,275.09,75,0,8.0,RU,1731348956
106,sao raimundo das mangabeiras,-7.0219,-45.4811,296.2,95,100,2.05,BR,1731348957
107,avarua,-21.2078,-159.775,296.18,73,75,3.09,CK,1731348958
108,cururupu,-1.8283,-44.8683,303.8,52,100,3.28,BR,1731348959
109,at taj,24.2049,23.2857,292.14,29,0,3.49,LY,1731348960
110,mangrol,21.1167,70.1167,300.53,63,0,1.46,IN,1731348961
111,hermanus,-34.4187,19.2345,291.37,70,0,4.6,ZA,1731348963
112,porto tolle,44.9497,12.3245,284.21,63,7,2.78,IT,1731348964
113,san juan de miraflores,-12.1629,-76.9635,297.69,68,91,4.33,PE,1731348965
114,yelets,52.6237,38.5017,274.03,73,54,2.38,RU,1731348966
115,ad darb,17.7229,42.2526,303.22,62,0,2.89,SA,1731348967
116,kuruman,-27.4524,23.4325,295.55,18,0,5.34,ZA,1731348968
117,yuzhno-kurilsk,44.0306,145.8556,276.93,68,5,3.7,RU,1731348969
118,blackmans bay,-43.0167,147.3167,281.33,87,72,1.82,AU,1731348970
119,college,64.8569,-147.8028,256.73,83,75,0.0,US,1731348971
120,bengkulu,-3.8004,102.2655,297.55,89,99,1.59,ID,1731348973
121,brisas de zicatela,15.8369,-97.0419,302.44,74,0,4.12,MX,1731348974
122,udachny,66.4167,112.4,248.69,100,99,1.72,RU,1731348975
123,murghob,38.1702,73.9667,266.3,49,2,2.89,TJ,1731348976
124,petawawa,45.9001,-77.3328,281.92,86,100,0.45,CA,1731348977
125,amble,55.3333,-1.5833,281.23,76,29,4.63,GB,1731348978
126,papao,-17.75,-149.55,299.97,87,90,7.21,PF,1731348979
127,whitby,54.4877,-0.615,282.67,80,38,3.13,GB,1731348980
128,cedar city,37.6775,-113.0619,287.69,27,0,6.17,US,1731348981
129,kodiak,57.79,-152.4072,275.88,56,0,4.12,US,1731348983
130,shush,32.1942,48.2436,300.36,29,0,2.58,IR,1731348984
131,al hufuf,25.3646,49.5653,298.34,41,0,0.0,SA,1731348985
132,franceville,-1.6333,13.5836,297.84,76,43,1.33,GA,1731348986
133,kingscliff,-28.2667,153.5667,296.04,94,75,5.14,AU,1731348987
134,la ronge,55.1001,-105.2842,272.27,93,100,7.2,CA,1731348988
135,minas de marcona,-15.2119,-75.1103,293.93,52,73,6.32,PE,1731348989
136,ola,59.5833,151.2833,260.54,73,100,6.32,RU,1731348990
137,harstad,68.799,16.5293,278.79,95,99,5.81,NO,1731348991
138,saint-francois,46.4154,3.9054,282.84,87,100,0.0,FR,1731348993
139,broken hill,-31.95,141.4333,292.37,72,100,4.34,AU,1731348994
140,ushuaia,-54.8,-68.3,281.37,78,100,2.02,AR,1731348995
141,saipan,15.1355,145.701,299.54,92,40,0.0,MP,1731348996
142,blackwater,-23.5833,148.8833,296.87,100,100,5.55,AU,1731348997
143,cole harbour,44.6724,-63.4751,285.89,95,100,3.13,CA,1731348998
144,mirny,62.5353,113.9611,255.86,99,95,1.6,RU,1731348999
145,punta arenas,-53.15,-70.9167,284.21,66,75,9.26,CL,1731349000
146,al jawf,29.5,38.75,292.7,45,36,4.06,SA,1731349001
147,badger,64.8,-147.5333,256.68,83,0,0.0,US,1731349003
148,miyako,39.6367,141.9525,282.75,82,80,1.44,JP,1731349004
149,bilibino,68.0546,166.4372,247.06,100,48,2.07,RU,1731349005
150,hasaki,35.7333,140.8333,291.79,65,0,5.82,JP,1731349006
151,saudarkrokur,65.7461,-19.6394,282.51,86,100,12.73,IS,1731349007
152,mangai,-4.05,19.5333,296.66,81,77,0.53,CD,1731349008
153,kyren,51.6828,102.1408,271.73,62,100,1.06,RU,1731349013
154,rio grande,-32.035,-52.0986,292.37,85,100,3.97,BR,1731349015
155,tsiombe,-25.3,45.4833,297.23,85,9,0.74,MG,1731349016
156,kapuskasing,49.4169,-82.4331,272.65,94,100,6.21,CA,1731348802
157,kot radha kishan,31.1725,74.0997,295.16,42,0,2.92,PK,1731349018
158,garissa,-0.4536,39.6401,304.07,52,97,2.72,KE,1731349019
159,qamdo,31.1667,97.2333,272.3,55,3,2.22,CN,1731349020
160,bredasdorp,-34.5322,20.0403,289.58,73,4,5.92,ZA,1731349021
161,paphos,34.7667,32.4167,292.03,77,74,3.6,CY,1731349022
162,yellowknife,62.456,-114.3525,264.49,98,100,8.05,CA,1731348873
163,sao joao da barra,-21.6403,-41.0511,301.2,64,2,6.27,BR,1731349025
